r,x,y_low,y_up
318,26.068068,38.11027,38.65813
319,26.147147,38.10792,38.65509
320,26.226226,38.10557,38.65205
321,26.305305,38.10322,38.64902
322,26.384384,38.10086,38.64598
323,26.463463,38.09851,38.64295
324,26.542543,38.09615,38.63992
325,26.621622,38.09379,38.63689
326,26.700701,38.09143,38.63386
327,26.779780,38.08907,38.63084
328,26.858859,38.08671,38.62782
329,26.937938,38.08435,38.62479
330,27.017017,38.08198,38.62177
331,27.096096,38.07961,38.61876
332,27.175175,38.07724,38.61574
333,27.254254,38.07487,38.61272
334,27.333333,38.07249,38.60971
335,27.412412,38.07012,38.60670
336,27.491491,38.06774,38.60369
337,27.570571,38.06536,38.60068
338,27.649650,38.06298,38.59768
339,27.728729,38.06060,38.59467
340,27.807808,38.05822,38.59167
341,27.886887,38.05583,38.58867
342,27.965966,38.05344,38.58567
343,28.045045,38.05105,38.58267
344,28.124124,38.04866,38.57968
345,28.203203,38.04627,38.57668
346,28.282282,38.04387,38.57369
347,28.361361,38.04148,38.57070
348,28.440440,38.03908,38.56771
349,28.519520,38.03668,38.56473
350,28.598599,38.03427,38.56174
351,28.677678,38.03187,38.55876
352,28.756757,38.02946,38.55578
353,28.835836,38.02706,38.55280
354,28.914915,38.02465,38.54982
355,28.993994,38.02223,38.54685
356,29.073073,38.01982,38.54388
357,29.152152,38.01741,38.54091
358,29.231231,38.01499,38.53794
359,29.310310,38.01257,38.53497
360,29.389389,38.01015,38.53200
361,29.468468,38.00772,38.52904
362,29.547548,38.00530,38.52608
363,29.626627,38.00287,38.52312
364,29.705706,38.00044,38.52016
365,29.784785,37.99801,38.51720
366,29.863864,37.99558,38.51425
367,29.942943,37.99314,38.51130
368,30.022022,37.99071,38.50835
369,30.101101,37.98827,38.50540
370,30.180180,37.98583,38.50245
371,30.259259,37.98339,38.49951
372,30.338338,37.98094,38.49657
373,30.417417,37.97849,38.49363
374,30.496496,37.97605,38.49069
375,30.575576,37.97360,38.48775
376,30.654655,37.97114,38.48482
377,30.733734,37.96869,38.48189
378,30.812813,37.96623,38.47896
379,30.891892,37.96377,38.47603
380,30.970971,37.96131,38.47310
381,31.050050,37.95885,38.47018
382,31.129129,37.95639,38.46726
383,31.208208,37.95392,38.46434
384,31.287287,37.95145,38.46142
385,31.366366,37.94898,38.45850
386,31.445445,37.94651,38.45559
387,31.524525,37.94403,38.45268
388,31.603604,37.94155,38.44977
389,31.682683,37.93907,38.44686
390,31.761762,37.93659,38.44396
391,31.840841,37.93411,38.44105
392,31.919920,37.93163,38.43815
393,31.998999,37.92914,38.43525
394,32.078078,37.92665,38.43235
395,32.157157,37.92416,38.42946
396,32.236236,37.92166,38.42657
397,32.315315,37.91917,38.42368
398,32.394394,37.91667,38.42079
399,32.473473,37.91417,38.41790
400,32.552553,37.91167,38.41502
401,32.631632,37.90916,38.41213
402,32.710711,37.90666,38.40925
403,32.789790,37.90415,38.40637
404,32.868869,37.90164,38.40350
405,32.947948,37.89912,38.40063
